Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
317,Shooter (I),Antoine Fuqua,Antoine Fuqua,,124 min,2007,7.1,53
318,The Lego Movie,"Phil Lord, Christopher Miller",Phil Lord,Christopher Miller,100 min,2014,7.7,83
319,The Covenant (2006),Renny Harlin,Renny Harlin,,97 min,2006,5.2,19
320,Austin Powers: The Spy Who Shagged Me,Jay Roach,Jay Roach,,95 min,1999,6.6,59
321,Batman & Robin,Joel Schumacher,Joel Schumacher,,125 min,1997,3.7,28
322,The Italian Job,F. Gary Gray,F. Gary Gray,,111 min,2003,7.0,68
323,Creed (II),Ryan Coogler,Ryan Coogler,,133 min,2015,7.6,82
324,Smokey and the Bandit,Hal Needham,Hal Needham,,96 min,1977,7.0,50
325,Incredibles 2,Brad Bird,Brad Bird,,118 min,2018,7.6,80
326,21 Jump Street,"Phil Lord, Christopher Miller",Phil Lord,Christopher Miller,109 min,2012,7.2,69
327,Olympus Has Fallen,Antoine Fuqua,Antoine Fuqua,,119 min,2013,6.5,41
328,Batman Returns,Tim Burton,Tim Burton,,126 min,1992,7.1,68
329,V for Vendetta,James McTeigue,James McTeigue,,132 min,2005,8.2,62
330,Beast (I),Baltasar Kormákur,Baltasar Kormákur,,93 min,2022,5.6,54
331,Master and Commander: The Far Side of the World,Peter Weir,Peter Weir,,138 min,2003,7.5,81
332,The Road Warrior,George Miller,George Miller,,96 min,1981,7.6,77
333,Kick-Ass,Matthew Vaughn,Matthew Vaughn,,117 min,2010,7.6,66
334,Natural Born Killers,Oliver Stone,Oliver Stone,,119 min,1994,7.2,74
335,GoldenEye,Martin Campbell,Martin Campbell,,130 min,1995,7.2,65
336,What Happened to Monday,Tommy Wirkola,Tommy Wirkola,,123 min,2017,6.8,47
337,Warcraft,Duncan Jones,Duncan Jones,,123 min,2016,6.7,32
338,Deep Blue Sea,Renny Harlin,Renny Harlin,,105 min,1999,5.9,54
339,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Gore Verbinski,,151 min,2006,7.3,53
340,Captain America: The Winter Soldier,"Anthony Russo, Joe Russo",Anthony Russo,Joe Russo,136 min,2014,7.8,70
341,Terminator Genisys,Alan Taylor,Alan Taylor,,126 min,2015,6.3,38
342,Highlander,Russell Mulcahy,Russell Mulcahy,,116 min,1986,7.1,24
343,Transformers: Dark of the Moon,Michael Bay,Michael Bay,,154 min,2011,6.2,42
344,John Carter,Andrew Stanton,Andrew Stanton,,132 min,2012,6.6,51
345,Willy's Wonderland,Kevin Lewis,Kevin Lewis,,88 min,2021,5.5,44
346,Armageddon,Michael Bay,Michael Bay,,151 min,1998,6.7,42
347,X-Men: First Class,Matthew Vaughn,Matthew Vaughn,,131 min,2011,7.7,65
348,Mortal Kombat (1995),Paul W.S. Anderson,Paul W.S. Anderson,,101 min,1995,5.8,60
349,Wonder Woman 1984,Patty Jenkins,Patty Jenkins,,151 min,2020,5.4,60
350,Training Day,Antoine Fuqua,Antoine Fuqua,,122 min,2001,7.7,69
351,How to Train Your Dragon,"Dean DeBlois, Chris Sanders",Dean DeBlois,Chris Sanders,98 min,2010,8.1,75
352,Iron Man 3,Shane Black,Shane Black,,130 min,2013,7.1,62
353,Unbroken (I),Angelina Jolie,Angelina Jolie,,137 min,2014,7.2,59
354,The Matrix Reloaded,"Lana Wachowski, Lilly Wachowski",Lana Wachowski,Lilly Wachowski,138 min,2003,7.2,62
355,Kong: Skull Island,Jordan Vogt-Roberts,Jordan Vogt-Roberts,,118 min,2017,6.6,62
356,Con Air,Simon West,Simon West,,115 min,1997,6.9,52
357,Exodus: Gods and Kings,Ridley Scott,Ridley Scott,,150 min,2014,6.0,52
358,Warrior,Gavin O'Connor,Gavin O'Connor,,140 min,2011,8.1,71
359,Gone in 60 Seconds,Dominic Sena,Dominic Sena,,118 min,2000,6.5,35
360,Lou (I),Anna Foerster,Anna Foerster,,107 min,2022,6.1,51
361,WarGames,John Badham,John Badham,,114 min,1983,7.1,77
362,Children of Men,Alfonso Cuarón,Alfonso Cuarón,,109 min,2006,7.9,84
363,Oblivion (I),Joseph Kosinski,Joseph Kosinski,,124 min,2013,7.0,54
364,Looper,Rian Johnson,Rian Johnson,,119 min,2012,7.4,84
365,Spiderhead,Joseph Kosinski,Joseph Kosinski,,106 min,2022,5.4,54
366,Austin Powers in Goldmember,Jay Roach,Jay Roach,,94 min,2002,6.2,62
367,Howard the Duck,Willard Huyck,Willard Huyck,,110 min,1986,4.7,28
368,Pitch Black,David Twohy,David Twohy,,109 min,2000,7.0,49
369,The Equalizer 2,Antoine Fuqua,Antoine Fuqua,,121 min,2018,6.7,50
370,Bad Boys for Life,"Adil El Arbi, Bilall Fallah",Adil El Arbi,Bilall Fallah,124 min,2020,6.5,59
371,Ender's Game,Gavin Hood,Gavin Hood,,114 min,2013,6.6,51
372,The Predator,Shane Black,Shane Black,,107 min,2018,5.3,48
373,The Old Guard,Gina Prince-Bythewood,Gina Prince-Bythewood,,125 min,2020,6.6,70
374,Dredd,Pete Travis,Pete Travis,,95 min,2012,7.1,60
375,Snowpiercer,Bong Joon Ho,Bong Joon Ho,,126 min,2013,7.1,84
376,The Mummy (2017),Alex Kurtzman,Alex Kurtzman,,110 min,2017,5.4,34
377,The Dirty Dozen,Robert Aldrich,Robert Aldrich,,150 min,1967,7.7,73
378,They Live,John Carpenter,John Carpenter,,94 min,1988,7.2,55
379,The Fugitive,Andrew Davis,Andrew Davis,,130 min,1993,7.8,87
380,Ocean's Eight,Gary Ross,Gary Ross,,110 min,2018,6.3,61
381,Van Helsing,Stephen Sommers,Stephen Sommers,,131 min,2004,6.0,35
382,King Kong,Peter Jackson,Peter Jackson,,187 min,2005,7.2,81
383,Stargate,Roland Emmerich,Roland Emmerich,,116 min,1994,7.0,42
384,Power Rangers,Dean Israelite,Dean Israelite,,124 min,2017,5.9,44
385,Sicario: Day of the Soldado,Stefano Sollima,Stefano Sollima,,122 min,2018,7.0,61
386,X-Men: Days of Future Past,Bryan Singer,Bryan Singer,,132 min,2014,7.9,75
387,Transformers: Revenge of the Fallen,Michael Bay,Michael Bay,,149 min,2009,5.9,35
388,The Incredible Hulk,Louis Leterrier,Louis Leterrier,,112 min,2008,6.6,61
389,Oldboy (2013),Spike Lee,Spike Lee,,104 min,2013,5.8,49
390,Falling Down,Joel Schumacher,Joel Schumacher,,113 min,1993,7.6,56
391,The Last Stand,Jee-woon Kim,Jee-woon Kim,,107 min,2013,6.3,54
392,Greyhound,Aaron Schneider,Aaron Schneider,,91 min,2020,7.0,64
393,Rush (I),Ron Howard,Ron Howard,,123 min,2013,8.1,74
394,Mechanic: Resurrection,Dennis Gansel,Dennis Gansel,,98 min,2016,5.7,38
395,Polar (I),Jonas Åkerlund,Jonas Åkerlund,,118 min,2019,6.3,19
396,Brotherhood of the Wolf,Christophe Gans,Christophe Gans,,142 min,2001,7.0,57
397,Batman Forever,Joel Schumacher,Joel Schumacher,,121 min,1995,5.4,51
398,Triple Frontier,J.C. Chandor,J.C. Chandor,,125 min,2019,6.4,61
399,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Francis Lawrence,,137 min,2015,6.5,65
400,Big Hero 6,"Don Hall, Chris Williams",Don Hall,Chris Williams,102 min,2014,7.8,74
401,Spectre (I),Sam Mendes,Sam Mendes,,148 min,2015,6.8,60
402,The Karate Kid (2010),Harald Zwart,Harald Zwart,,140 min,2010,6.2,61
403,Collateral,Michael Mann,Michael Mann,,120 min,2004,7.5,71
404,Deep Impact,Mimi Leder,Mimi Leder,,120 min,1998,6.2,40
405,Smokin' Aces,Joe Carnahan,Joe Carnahan,,108 min,2006,6.6,45
406,The Wolverine,James Mangold,James Mangold,,126 min,2013,6.7,61
407,X-Men Origins: Wolverine,Gavin Hood,Gavin Hood,,107 min,2009,6.5,40
408,Zombieland,Ruben Fleischer,Ruben Fleischer,,88 min,2009,7.6,73
409,Den of Thieves,Christian Gudegast,Christian Gudegast,,140 min,2018,7.0,49
410,Day Shift,J.J. Perry,J.J. Perry,,113 min,2022,6.1,51
411,District 9,Neill Blomkamp,Neill Blomkamp,,112 min,2009,7.9,81
412,Greenland,Ric Roman Waugh,Ric Roman Waugh,,119 min,2020,6.4,64
413,Tomb Raider,Roar Uthaug,Roar Uthaug,,119 min,2018,6.3,48
414,Enola Holmes,Harry Bradbeer,Harry Bradbeer,,123 min,2020,6.6,68
415,X-Men: Apocalypse,Bryan Singer,Bryan Singer,,144 min,2016,6.9,52
416,The Patriot,Roland Emmerich,Roland Emmerich,,165 min,2000,7.2,63
417,Clash of the Titans (2010),Louis Leterrier,Louis Leterrier,,106 min,2010,5.8,39
418,Knowing,Alex Proyas,Alex Proyas,,121 min,2009,6.2,41
419,Godzilla,Gareth Edwards,Gareth Edwards,,123 min,2014,6.4,62
420,Infinite,Antoine Fuqua,Antoine Fuqua,,106 min,2021,5.4,28
421,Crocodile Dundee,Peter Faiman,Peter Faiman,,97 min,1986,6.6,62
422,Pacific Rim,Guillermo del Toro,Guillermo del Toro,,131 min,2013,6.9,65
423,Tomorrowland,Brad Bird,Brad Bird,,130 min,2015,6.4,60
424,The Bourne Identity,Doug Liman,Doug Liman,,119 min,2002,7.9,68
425,G.I. Joe: The Rise of Cobra,Stephen Sommers,Stephen Sommers,,118 min,2009,5.7,32
426,A History of Violence,David Cronenberg,David Cronenberg,,96 min,2005,7.4,82
427,The Amazing Spider-Man 2,Marc Webb,Marc Webb,,142 min,2014,6.6,53
428,Riddick,David Twohy,David Twohy,,119 min,2013,6.4,49
429,Princess Mononoke,Hayao Miyazaki,Hayao Miyazaki,,134 min,1997,8.3,76
430,Pirates of the Caribbean: At World's End,Gore Verbinski,Gore Verbinski,,169 min,2007,7.1,50
431,Captain Phillips,Paul Greengrass,Paul Greengrass,,134 min,2013,7.8,82
432,Licence to Kill,John Glen,John Glen,,133 min,1989,6.6,58
433,Planet of the Apes,Tim Burton,Tim Burton,,119 min,2001,5.7,50
434,I Saw the Devil,Jee-woon Kim,Jee-woon Kim,,144 min,2010,7.8,67
435,The Blues Brothers,John Landis,John Landis,,133 min,1980,7.9,60
436,American Made,Doug Liman,Doug Liman,,115 min,2017,7.1,65
437,RED,Robert Schwentke,Robert Schwentke,,111 min,2010,7.0,60
438,Iron Man 2,Jon Favreau,Jon Favreau,,124 min,2010,6.9,57
439,Death Race,Paul W.S. Anderson,Paul W.S. Anderson,,105 min,2008,6.4,43
440,Man on Fire,Tony Scott,Tony Scott,,146 min,2004,7.7,47
441,The Chronicles of Riddick,David Twohy,David Twohy,,119 min,2004,6.6,38
442,Minority Report,Steven Spielberg,Steven Spielberg,,145 min,2002,7.6,80
443,Underworld,Len Wiseman,Len Wiseman,,121 min,2003,7.0,42
444,Seven Samurai,Akira Kurosawa,Akira Kurosawa,,207 min,1954,8.6,98
445,Godzilla: King of the Monsters,Michael Dougherty,Michael Dougherty,,132 min,2019,6.0,48
446,Spy,Paul Feig,Paul Feig,,120 min,2015,7.0,75
447,Sherlock Holmes,Guy Ritchie,Guy Ritchie,,128 min,2009,7.6,57
448,Masters of the Universe,Gary Goddard,Gary Goddard,,106 min,1987,5.3,35
449,R.I.P.D.,Robert Schwentke,Robert Schwentke,,96 min,2013,5.6,25
450,The Last Samurai,Edward Zwick,Edward Zwick,,154 min,2003,7.8,55
451,Quantum of Solace,Marc Forster,Marc Forster,,106 min,2008,6.6,58
452,Dragonball Evolution,James Wong,James Wong,,85 min,2009,2.5,45
453,S.W.A.T.,Clark Johnson,Clark Johnson,,117 min,2003,6.0,45
454,War of the Worlds,Steven Spielberg,Steven Spielberg,,116 min,2005,6.5,73
455,Fantastic Four,Josh Trank,Josh Trank,,100 min,2015,4.3,27
456,Creed II,Steven Caple Jr.,Steven Caple Jr.,,130 min,2018,7.1,66
457,Commando,Mark L. Lester,Mark L. Lester,,90 min,1985,6.7,51
458,DC League of Super-Pets,"Jared Stern, Sam J. Levine",Jared Stern,Sam J. Levine,105 min,2022,7.1,56
459,Midway,Roland Emmerich,Roland Emmerich,,138 min,2019,6.7,47
460,White House Down,Roland Emmerich,Roland Emmerich,,131 min,2013,6.3,52
461,I Am Legend,Francis Lawrence,Francis Lawrence,,101 min,2007,7.2,65
462,Jurassic World: Fallen Kingdom,J.A. Bayona,J.A. Bayona,,128 min,2018,6.1,51
463,Resident Evil: Welcome to Raccoon City,Johannes Roberts,Johannes Roberts,,107 min,2021,5.2,44
464,The A-Team,Joe Carnahan,Joe Carnahan,,117 min,2010,6.7,47
465,The Life Aquatic with Steve Zissou,Wes Anderson,Wes Anderson,,119 min,2004,7.2,62
466,Men in Black: International,F. Gary Gray,F. Gary Gray,,114 min,2019,5.6,38
467,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Francis Lawrence,,123 min,2014,6.6,64
468,Boss Level,Joe Carnahan,Joe Carnahan,,100 min,2020,6.8,56
469,King Arthur: Legend of the Sword,Guy Ritchie,Guy Ritchie,,126 min,2017,6.7,41
470,Last Seen Alive,Brian Goodman,Brian Goodman,,95 min,2022,5.6,
471,Raya and the Last Dragon,"Don Hall, Carlos López Estrada, Paul Briggs, John Ripa",Don Hall,Carlos López Estrada,107 min,2021,7.3,74
472,Atomic Blonde,David Leitch,David Leitch,,115 min,2017,6.7,63
473,Mortal Engines,Christian Rivers,Christian Rivers,,128 min,2018,6.1,44
474,Mandy (I),Panos Cosmatos,Panos Cosmatos,,121 min,2018,6.5,82
475,Hunter Killer,Donovan Marsh,Donovan Marsh,,121 min,2018,6.6,43
476,Romancing the Stone,Robert Zemeckis,Robert Zemeckis,,106 min,1984,6.9,63
477,The Harder They Fall,Jeymes Samuel,Jeymes Samuel,,139 min,2021,6.6,68
478,The Mummy Returns,Stephen Sommers,Stephen Sommers,,130 min,2001,6.4,48
479,Jungle Cruise,Jaume Collet-Serra,Jaume Collet-Serra,,127 min,2021,6.6,50
480,Enemy at the Gates,Jean-Jacques Annaud,Jean-Jacques Annaud,,131 min,2001,7.5,53
481,The Legend of Tarzan,David Yates,David Yates,,110 min,2016,6.2,44
482,The Sentinel,Clark Johnson,Clark Johnson,,108 min,2006,6.1,49
483,Teenage Mutant Ninja Turtles,Jonathan Liebesman,Jonathan Liebesman,,101 min,2014,5.8,31
484,Swordfish,Dominic Sena,Dominic Sena,,99 min,2001,6.5,32
485,The Sum of All Fears,Phil Alden Robinson,Phil Alden Robinson,,124 min,2002,6.4,45
486,National Treasure,Jon Turteltaub,Jon Turteltaub,,131 min,2004,6.9,40
487,The Croods,"Kirk DeMicco, Chris Sanders",Kirk DeMicco,Chris Sanders,98 min,2013,7.2,55
488,Backdraft,Ron Howard,Ron Howard,,137 min,1991,6.7,38
489,Rise of the Planet of the Apes,Rupert Wyatt,Rupert Wyatt,,105 min,2011,7.6,68
490,Ghost Rider,Mark Steven Johnson,Mark Steven Johnson,,110 min,2007,5.3,35
491,Angel Has Fallen,Ric Roman Waugh,Ric Roman Waugh,,121 min,2019,6.4,45
492,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Rob Cohen,,112 min,2008,5.2,31
493,Flash Gordon,Mike Hodges,Mike Hodges,,111 min,1980,6.5,58
494,Serenity,Joss Whedon,Joss Whedon,,119 min,2005,7.8,74
495,Terminator 3: Rise of the Machines,Jonathan Mostow,Jonathan Mostow,,109 min,2003,6.3,66
496,First Blood,Ted Kotcheff,Ted Kotcheff,,93 min,1982,7.7,61
497,Army of Thieves,Matthias Schweighöfer,Matthias Schweighöfer,,127 min,2021,6.4,49
498,Point Break (2015),Ericson Core,Ericson Core,,114 min,2015,5.3,34
499,Conan the Barbarian (2011),Marcus Nispel,Marcus Nispel,,113 min,2011,5.1,36
500,Anna (II),Luc Besson,Luc Besson,,118 min,2019,6.6,40
501,300: Rise of an Empire,Noam Murro,Noam Murro,,102 min,2014,6.2,48
502,Hitman's Wife's Bodyguard,Patrick Hughes,Patrick Hughes,,100 min,2021,6.1,32
503,Charlie's Angels,McG,McG,,98 min,2000,5.6,52
504,Robin Hood: Prince of Thieves,Kevin Reynolds,Kevin Reynolds,,143 min,1991,6.9,51
505,Jason Bourne (I),Paul Greengrass,Paul Greengrass,,123 min,2016,6.6,58
506,Riders of Justice,Anders Thomas Jensen,Anders Thomas Jensen,,116 min,2020,7.5,81
507,xXx,Rob Cohen,Rob Cohen,,124 min,2002,5.8,48
508,X-Men: Dark Phoenix,Simon Kinberg,Simon Kinberg,,113 min,2019,5.7,43
509,The Magnificent Seven (1960),John Sturges,John Sturges,,128 min,1960,7.7,74
510,Red Sonja,Richard Fleischer,Richard Fleischer,,89 min,1985,5.1,35
511,Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",Gary Trousdale,Kirk Wise,95 min,2001,6.9,52
512,Law Abiding Citizen,F. Gary Gray,F. Gary Gray,,109 min,2009,7.4,34
513,Kill Bill: Vol. 2,Quentin Tarantino,Quentin Tarantino,,137 min,2004,8.0,83
514,Revenge (II),Coralie Fargeat,Coralie Fargeat,,108 min,2017,6.4,81
515,The Lego Batman Movie,Chris McKay,Chris McKay,,104 min,2017,7.3,75
516,Wanted,Timur Bekmambetov,Timur Bekmambetov,,110 min,2008,6.7,64
517,Jupiter Ascending,"Lana Wachowski, Lilly Wachowski",Lana Wachowski,Lilly Wachowski,127 min,2015,5.3,40
518,The Raid: Redemption,Gareth Evans,Gareth Evans,,101 min,2011,7.6,73
519,Big Trouble in Little China,John Carpenter,John Carpenter,,99 min,1986,7.2,53
520,Alien³,David Fincher,David Fincher,,114 min,1992,6.4,59
521,X-Men: The Last Stand,Brett Ratner,Brett Ratner,,104 min,2006,6.6,58
522,North by Northwest,Alfred Hitchcock,Alfred Hitchcock,,136 min,1959,8.3,98
523,Enola Holmes 2,Harry Bradbeer,Harry Bradbeer,,129 min,2022,6.7,64
524,Robin Hood,Ridley Scott,Ridley Scott,,140 min,2010,6.6,53
525,xXx: Return of Xander Cage,D.J. Caruso,D.J. Caruso,,107 min,2017,5.2,42
526,Ghost in the Shell,Rupert Sanders,Rupert Sanders,,107 min,2017,6.3,52
527,Bad Boys,Michael Bay,Michael Bay,,119 min,1995,6.8,41
528,Desperado,Robert Rodriguez,Robert Rodriguez,,104 min,1995,7.1,55
529,Kisi Ka Bhai Kisi Ki Jaan,Farhad Samji,Farhad Samji,,145 min,2023,6.8,
530,Super (I),James Gunn,James Gunn,,96 min,2010,6.7,50
531,Geostorm,Dean Devlin,Dean Devlin,,109 min,2017,5.3,21
532,Dawn of the Planet of the Apes,Matt Reeves,Matt Reeves,,130 min,2014,7.6,79
533,Blood Red Sky,Peter Thorwarth,Peter Thorwarth,,121 min,2021,6.1,43
534,Teenage Mutant Ninja Turtles (1990),Steve Barron,Steve Barron,,93 min,1990,6.7,51
535,The Iron Giant,Brad Bird,Brad Bird,,86 min,1999,8.1,85
536,The Expendables,Sylvester Stallone,Sylvester Stallone,,103 min,2010,6.4,45
537,X2: X-Men United,Bryan Singer,Bryan Singer,,134 min,2003,7.4,68
538,Equilibrium,Kurt Wimmer,Kurt Wimmer,,107 min,2002,7.3,33
539,Immortals,Tarsem Singh,Tarsem Singh,,110 min,2011,6.0,46
540,Hitman (I),Xavier Gens,Xavier Gens,,100 min,2007,6.2,35
541,Pathaan,Siddharth Anand,Siddharth Anand,,146 min,2023,5.9,47
542,Lifeforce,Tobe Hooper,Tobe Hooper,,101 min,1985,6.1,50
543,Street Fighter,Steven E. de Souza,Steven E. de Souza,,102 min,1994,4.0,34
544,Predators,Nimród Antal,Nimród Antal,,107 min,2010,6.4,51
545,Thirteen Lives,Ron Howard,Ron Howard,,147 min,2022,7.8,66
546,The Fighter (I),David O. Russell,David O. Russell,,116 min,2010,7.8,79
547,The Man from Toronto,Patrick Hughes,Patrick Hughes,,110 min,2022,5.8,34
548,The Bodyguard,Mick Jackson,Mick Jackson,,129 min,1992,6.3,39
549,Kung Fu Hustle,Stephen Chow,Stephen Chow,,99 min,2004,7.7,78
550,Pixels,Chris Columbus,Chris Columbus,,105 min,2015,5.6,27
551,Species,Roger Donaldson,Roger Donaldson,,108 min,1995,5.8,49
552,The Rundown,Peter Berg,Peter Berg,,104 min,2003,6.6,59
553,I Am Number Four,D.J. Caruso,D.J. Caruso,,111 min,2011,6.1,36
554,Cobra,George P. Cosmatos,George P. Cosmatos,,87 min,1986,5.8,25
555,War for the Planet of the Apes,Matt Reeves,Matt Reeves,,140 min,2017,7.4,82
556,12 Strong,Nicolai Fuglsig,Nicolai Fuglsig,,130 min,2018,6.5,54
557,"Crouching Tiger, Hidden Dragon",Ang Lee,Ang Lee,,120 min,2000,7.9,94
558,Samaritan,Julius Avery,Julius Avery,,102 min,2022,5.7,45
559,Lightyear,Angus MacLane,Angus MacLane,,105 min,2022,6.1,60
560,"I, Robot",Alex Proyas,Alex Proyas,,115 min,2004,7.1,59
561,The Long Kiss Goodnight,Renny Harlin,Renny Harlin,,121 min,1996,6.8,44
562,The Mechanic,Simon West,Simon West,,93 min,2011,6.5,49
563,Superman Returns,Bryan Singer,Bryan Singer,,154 min,2006,6.1,72
564,Rango,Gore Verbinski,Gore Verbinski,,107 min,2011,7.2,75
565,Tears of the Sun,Antoine Fuqua,Antoine Fuqua,,121 min,2003,6.6,48
566,Knight and Day,James Mangold,James Mangold,,109 min,2010,6.3,46
567,Legion,Scott Stewart,Scott Stewart,,100 min,2010,5.2,32
568,Need for Speed,Scott Waugh,Scott Waugh,,132 min,2014,6.4,39
569,Total Recall (I),Len Wiseman,Len Wiseman,,118 min,2012,6.2,43
570,The Quick and the Dead,Sam Raimi,Sam Raimi,,108 min,1995,6.5,49
571,Hellboy,Neil Marshall,Neil Marshall,,120 min,2019,5.2,31
572,RoboCop (2014),José Padilha,José Padilha,,117 min,2014,6.1,52
573,Real Steel,Shawn Levy,Shawn Levy,,127 min,2011,7.0,56
574,The Boondock Saints,Troy Duffy,Troy Duffy,,108 min,1999,7.7,44
575,Elysium (I),Neill Blomkamp,Neill Blomkamp,,109 min,2013,6.6,61
576,Hancock,Peter Berg,Peter Berg,,92 min,2008,6.4,49
577,American Assassin,Michael Cuesta,Michael Cuesta,,111 min,2017,6.2,45
578,Mr. & Mrs. Smith,Doug Liman,Doug Liman,,120 min,2005,6.5,55
579,The Last Witch Hunter,Breck Eisner,Breck Eisner,,106 min,2015,5.9,34
580,Kate (I),Cedric Nicolas-Troyan,Cedric Nicolas-Troyan,,106 min,2021,6.2,47
581,Reign of Fire,Rob Bowman,Rob Bowman,,101 min,2002,6.2,39
582,The Hitman's Bodyguard,Patrick Hughes,Patrick Hughes,,118 min,2017,6.9,47
583,Where Eagles Dare,Brian G. Hutton,Brian G. Hutton,,158 min,1968,7.6,63
584,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Andrew Adamson,,150 min,2008,6.5,62
585,Zombieland: Double Tap,Ruben Fleischer,Ruben Fleischer,,99 min,2019,6.7,55
586,Cliffhanger,Renny Harlin,Renny Harlin,,113 min,1993,6.5,60
587,Alien: Resurrection,Jean-Pierre Jeunet,Jean-Pierre Jeunet,,109 min,1997,6.2,63
588,Escape from New York,John Carpenter,John Carpenter,,99 min,1981,7.1,76
589,Waterworld,Kevin Reynolds,Kevin Reynolds,,177 min,1995,6.3,56
590,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,Haruo Sotozaki,,117 min,2020,8.2,72
591,Blade II,Guillermo del Toro,Guillermo del Toro,,117 min,2002,6.7,52
592,Tron,Steven Lisberger,Steven Lisberger,,96 min,1982,6.7,58
593,We Were Soldiers,Randall Wallace,Randall Wallace,,138 min,2002,7.1,65
594,Goldfinger,Guy Hamilton,Guy Hamilton,,110 min,1964,7.7,87
595,Ava (IV),Tate Taylor,Tate Taylor,,96 min,2020,5.4,39
596,Fantastic Four (I),Tim Story,Tim Story,,106 min,2005,5.7,40
597,Sucker Punch,Zack Snyder,Zack Snyder,,110 min,2011,6.0,33
598,The Island,Michael Bay,Michael Bay,,136 min,2005,6.8,50
599,Dragged Across Concrete,S. Craig Zahler,S. Craig Zahler,,159 min,2018,6.9,60
600,Rampage,Brad Peyton,Brad Peyton,,107 min,2018,6.1,45
601,Demolition Man,Marco Brambilla,Marco Brambilla,,115 min,1993,6.7,34
602,Love and Monsters,Michael Matthews,Michael Matthews,,109 min,2020,6.9,63
603,Bloodshot,Dave Wilson,Dave Wilson,,109 min,2020,5.7,44
604,The Scorpion King,Chuck Russell,Chuck Russell,,92 min,2002,5.5,45
605,Logan Lucky,Steven Soderbergh,Steven Soderbergh,,118 min,2017,7.0,78
606,The Matrix Revolutions,"Lana Wachowski, Lilly Wachowski",Lana Wachowski,Lilly Wachowski,129 min,2003,6.7,47
607,Dracula Untold,Gary Shore,Gary Shore,,92 min,2014,6.2,40
608,Patriots Day,Peter Berg,Peter Berg,,133 min,2016,7.3,69
609,Escape Plan,Mikael Håfström,Mikael Håfström,,115 min,2013,6.7,49
610,Ip Man,Wilson Yip,Wilson Yip,,106 min,2008,8.0,59
611,Source Code,Duncan Jones,Duncan Jones,,93 min,2011,7.5,74
612,Blade: Trinity,David S. Goyer,David S. Goyer,,113 min,2004,5.8,38
613,Gunpowder Milkshake,Navot Papushado,Navot Papushado,,114 min,2021,6.0,47
614,2 Guns,Baltasar Kormákur,Baltasar Kormákur,,109 min,2013,6.7,55
615,Southpaw,Antoine Fuqua,Antoine Fuqua,,124 min,2015,7.3,57
616,Beverly Hills Cop II,Tony Scott,Tony Scott,,100 min,1987,6.5,48
617,28 Weeks Later,Juan Carlos Fresnadillo,Juan Carlos Fresnadillo,,100 min,2007,6.9,78
618,Freddy vs. Jason,Ronny Yu,Ronny Yu,,97 min,2003,5.7,37
619,22 Jump Street,"Phil Lord, Christopher Miller",Phil Lord,Christopher Miller,112 min,2014,7.0,71
620,Noah,Darren Aronofsky,Darren Aronofsky,,138 min,2014,5.8,68
621,The Spiderwick Chronicles,Mark Waters,Mark Waters,,96 min,2008,6.5,62
622,The Pacifier,Adam Shankman,Adam Shankman,,95 min,2005,5.6,30
623,Spy Kids,Robert Rodriguez,Robert Rodriguez,,88 min,2001,5.6,71
624,Speed Racer,"Lana Wachowski, Lilly Wachowski",Lana Wachowski,Lilly Wachowski,135 min,2008,6.0,37
625,A View to a Kill,John Glen,John Glen,,131 min,1985,6.3,40
626,The Core,Jon Amiel,Jon Amiel,,135 min,2003,5.5,48
627,Spawn,Mark A.Z. Dippé,Mark A.Z. Dippé,,96 min,1997,5.2,34
628,RocknRolla,Guy Ritchie,Guy Ritchie,,114 min,2008,7.2,53
629,Live Free or Die Hard,Len Wiseman,Len Wiseman,,128 min,2007,7.1,69
630,News of the World,Paul Greengrass,Paul Greengrass,,118 min,2020,6.8,73
631,End of Watch,David Ayer,David Ayer,,109 min,2012,7.6,68
632,Hulk,Ang Lee,Ang Lee,,138 min,2003,5.6,54
633,The Longest Day,"Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck",Ken Annakin,Andrew Marton,178 min,1962,7.7,75
634,Underworld: Blood Wars,Anna Foerster,Anna Foerster,,91 min,2016,5.7,23
635,Dick Tracy,Warren Beatty,Warren Beatty,,105 min,1990,6.2,68
636,The Last Airbender,M. Night Shyamalan,M. Night Shyamalan,,103 min,2010,4.0,20
637,Underwater,William Eubank,William Eubank,,95 min,2020,5.9,48
638,Hercules (I),Brett Ratner,Brett Ratner,,98 min,2014,6.0,47
639,Sin City: A Dame to Kill For,"Frank Miller, Robert Rodriguez",Frank Miller,Robert Rodriguez,102 min,2014,6.5,46
640,Charlie's Angels (2019),Elizabeth Banks,Elizabeth Banks,,118 min,2019,5.0,52
641,Prince of Persia: The Sands of Time,Mike Newell,Mike Newell,,116 min,2010,6.6,50
