Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
70,All Quiet on the Western Front,Edward Berger,Edward Berger,,148 min,2022,7.8,76
71,Gladiator,Ridley Scott,Ridley Scott,,155 min,2000,8.5,67
72,King Arthur,Antoine Fuqua,Antoine Fuqua,,126 min,2004,6.3,46
73,Transformers,Michael Bay,Michael Bay,,144 min,2007,7.0,61
74,Sicario,Denis Villeneuve,Denis Villeneuve,,121 min,2015,7.6,82
75,Starship Troopers,Paul Verhoeven,Paul Verhoeven,,129 min,1997,7.3,52
76,No Time to Die,Cary Joji Fukunaga,Cary Joji Fukunaga,,163 min,2021,7.3,68
77,Star Wars: Episode IV - A New Hope,George Lucas,George Lucas,,121 min,1977,8.6,90
78,Gods of Egypt,Alex Proyas,Alex Proyas,,127 min,2016,5.4,25
79,Avengers: Infinity War,"Anthony Russo, Joe Russo",Anthony Russo,Joe Russo,149 min,2018,8.4,68
80,The Gray Man,"Anthony Russo, Joe Russo",Anthony Russo,Joe Russo,122 min,2022,6.5,49
81,The Three Musketeers,Paul W.S. Anderson,Paul W.S. Anderson,,110 min,2011,5.7,35
82,Avatar,James Cameron,James Cameron,,162 min,2009,7.9,83
83,Spider-Man: Homecoming,Jon Watts,Jon Watts,,133 min,2017,7.4,73
84,Star Trek Into Darkness,J.J. Abrams,J.J. Abrams,,132 min,2013,7.7,72
85,The Northman,Robert Eggers,Robert Eggers,,137 min,2022,7.0,82
86,Valerian and the City of a Thousand Planets,Luc Besson,Luc Besson,,136 min,2017,6.4,51
87,Jurassic World: Dominion,Colin Trevorrow,Colin Trevorrow,,147 min,2022,5.6,38
88,Black Adam,Jaume Collet-Serra,Jaume Collet-Serra,,125 min,2022,6.3,41
89,Conan the Barbarian,John Milius,John Milius,,129 min,1982,6.9,43
90,Mission: Impossible - Fallout,Christopher McQuarrie,Christopher McQuarrie,,147 min,2018,7.7,86
91,Doctor Strange in the Multiverse of Madness,Sam Raimi,Sam Raimi,,126 min,2022,6.9,60
92,The Woman King,Gina Prince-Bythewood,Gina Prince-Bythewood,,135 min,2022,6.8,77
93,Mortal Kombat,Simon McQuoid,Simon McQuoid,,110 min,2021,6.0,44
94,Oldboy,Park Chan-wook,Park Chan-wook,,101 min,2003,8.4,77
95,Nobody (I),Ilya Naishuller,Ilya Naishuller,,92 min,2021,7.4,64
96,Star Wars: Episode I - The Phantom Menace,George Lucas,George Lucas,,136 min,1999,6.5,51
97,The Magnificent Seven,Antoine Fuqua,Antoine Fuqua,,132 min,2016,6.8,54
98,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Gore Verbinski,,143 min,2003,8.1,63
99,Eternals,Chloé Zhao,Chloé Zhao,,156 min,2021,6.3,52
100,Murder Mystery 2,Jeremy Garelick,Jeremy Garelick,,90 min,2023,5.7,44
101,Deadpool,Tim Miller,Tim Miller,,108 min,2016,8.0,65
102,Spider-Man,Sam Raimi,Sam Raimi,,121 min,2002,7.4,73
103,The Mummy,Stephen Sommers,Stephen Sommers,,124 min,1999,7.1,48
104,Blade Runner,Ridley Scott,Ridley Scott,,117 min,1982,8.1,84
105,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Steven Spielberg,,122 min,2008,6.2,65
106,Ant-Man and the Wasp,Peyton Reed,Peyton Reed,,118 min,2018,7.0,70
107,True Lies,James Cameron,James Cameron,,141 min,1994,7.3,63
108,Kindergarten Cop,Ivan Reitman,Ivan Reitman,,111 min,1990,6.2,61
109,Men in Black,Barry Sonnenfeld,Barry Sonnenfeld,,98 min,1997,7.3,71
110,Indiana Jones and the Last Crusade,Steven Spielberg,Steven Spielberg,,127 min,1989,8.2,65
111,Extraction,Sam Hargrave,Sam Hargrave,,116 min,2020,6.7,56
112,Independence Day,Roland Emmerich,Roland Emmerich,,145 min,1996,7.0,59
113,Indiana Jones and the Temple of Doom,Steven Spielberg,Steven Spielberg,,118 min,1984,7.5,57
114,Drive (I),Nicolas Winding Refn,Nicolas Winding Refn,,100 min,2011,7.8,78
115,The Accountant,Gavin O'Connor,Gavin O'Connor,,128 min,2016,7.3,51
116,Black Hawk Down,Ridley Scott,Ridley Scott,,144 min,2001,7.7,74
117,Mission: Impossible,Brian De Palma,Brian De Palma,,110 min,1996,7.1,59
118,Free Guy,Shawn Levy,Shawn Levy,,115 min,2021,7.1,62
119,Aquaman,James Wan,James Wan,,143 min,2018,6.8,55
120,300,Zack Snyder,Zack Snyder,,117 min,2006,7.6,52
121,Rogue One: A Star Wars Story,Gareth Edwards,Gareth Edwards,,133 min,2016,7.8,65
122,Wrath of Man,Guy Ritchie,Guy Ritchie,,119 min,2021,7.1,57
123,Dune (1984),David Lynch,David Lynch,,137 min,1984,6.3,41
124,Jack Reacher,Christopher McQuarrie,Christopher McQuarrie,,130 min,2012,7.0,50
125,The Lord of the Rings: The Return of the King,Peter Jackson,Peter Jackson,,201 min,2003,9.0,94
